customer_id,total_freq,total_points,points,transaction_date,interval,upper,lower,median,upper-cutoff,lower-cutoff,normal_freq,outlier_freq,normal/abnormal,mean_freq,mean_initial_freq,|fisrt_1_round,fisrt_2_round,fisrt_3_round,fisrt_4_round,fisrt_5_round,fisrt_6_round,fisrt_7_round,fisrt_8_round,fisrt_9_round,fisrt_10_round|,|first_1_round_first_10_percent_freq,first_1_round_first_25_percent_freq,first_1_round_first_50_percent_freq,first_1_round_first_75_percent_freq,first_2_round_first_10_percent_freq,first_2_round_first_25_percent_freq,first_2_round_first_50_percent_freq,first_2_round_first_75_percent_freq,first_3_round_first_10_percent_freq,first_3_round_first_25_percent_freq,first_3_round_first_50_percent_freq,first_3_round_first_75_percent_freq,first_4_round_first_10_percent_freq,first_4_round_first_25_percent_freq,first_4_round_first_50_percent_freq,first_4_round_first_75_percent_freq,first_5_round_first_10_percent_freq,first_5_round_first_25_percent_freq,first_5_round_first_50_percent_freq,first_5_round_first_75_percent_freq,first_6_round_first_10_percent_freq,first_6_round_first_25_percent_freq,first_6_round_first_50_percent_freq,first_6_round_first_75_percent_freq,first_7_round_first_10_percent_freq,first_7_round_first_25_percent_freq,first_7_round_first_50_percent_freq,first_7_round_first_75_percent_freq,first_8_round_first_10_percent_freq,first_8_round_first_25_percent_freq,first_8_round_first_50_percent_freq,first_8_round_first_75_percent_freq,first_9_round_first_10_percent_freq,first_9_round_first_25_percent_freq,first_9_round_first_50_percent_freq,first_9_round_first_75_percent_freq,first_10_round_first_10_percent_freq,first_10_round_first_25_percent_freq,first_10_round_first_50_percent_freq,first_10_round_first_75_percent_freq|,current_day,days_to_last_transaction,discrepancy,tag
114783,7,7,1;1;1;1;1;1;1,3/11/2016;3/29/2016;4/6/2016;4/16/2016;4/18/2016;4/25/2016;5/3/2016,18;8;10;2;7;8,13.60884959,0,8.833333333,30,4,8;10;2;7;8,18,5vs1,7,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,2,-0.714285714,normal
117893,17,23,1;2;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1,3/16/2016;3/19/2016;3/20/2016;3/24/2016;3/30/2016;3/31/2016;4/1/2016;4/7/2016;4/8/2016;4/11/2016;4/12/2016;4/14/2016;4/17/2016;4/18/2016;4/23/2016;4/24/2016;4/30/2016,3;1;4;6;1;1;6;1;3;1;2;3;1;5;1;6,4.756038976,0,2.8125,30,4,3;1;4;1;1;1;3;1;2;3;1;1,6;6;5;6,12vs4,1.833333333,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,5,1.727272727,potential_churn
108730,33,46,1;3;2;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;4;1;1;1;3;2;1;1;1;1;2;1;1;1,2/28/2016;2/29/2016;3/1/2016;3/2/2016;3/3/2016;3/6/2016;3/8/2016;3/11/2016;3/12/2016;3/16/2016;3/18/2016;3/19/2016;3/20/2016;3/22/2016;3/25/2016;3/27/2016;3/29/2016;3/30/2016;3/31/2016;4/1/2016;4/2/2016;4/5/2016;4/7/2016;4/8/2016;4/10/2016;4/11/2016;4/14/2016;4/15/2016;4/17/2016;4/20/2016;4/23/2016;4/26/2016;4/30/2016,1;1;1;1;3;2;3;1;4;2;1;1;2;3;2;2;1;1;1;1;3;2;1;2;1;3;1;2;3;3;3;4,2.903726552,0,1.9375,30,4,1;1;1;1;2;1;2;1;1;2;2;2;1;1;1;1;2;1;2;1;1;2,3;3;4;3;3;3;3;3;3;4,22vs10,1.363636364,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,5,2.666666667,potential_churn
2722,6,16,3;4;2;3;2;2,4/12/2016;4/19/2016;4/21/2016;4/27/2016;4/28/2016;4/29/2016,7;2;6;1;1,5.976819745,0,3.4,30,4,2;1;1,7;6,3vs2,1.333333333,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,6,3.5,potential_churn
112938,13,26,1;1;2;3;3;6;1;2;1;1;3;1;1,3/7/2016;3/20/2016;3/26/2016;4/5/2016;4/7/2016;4/9/2016;4/15/2016;4/16/2016;4/19/2016;4/20/2016;4/22/2016;4/25/2016;4/27/2016,13;6;10;2;2;6;1;3;1;2;3;2,7.904335325,0,4.25,30,4,6;2;2;6;1;3;1;2;3;2,13;10,10vs2,2.8,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,8,1.857142857,potential_churn
118540,10,11,1;1;1;1;1;1;2;1;1;1,3/18/2016;3/19/2016;3/20/2016;3/25/2016;3/27/2016;3/29/2016;4/1/2016;4/2/2016;4/6/2016;4/25/2016,1;1;5;2;2;3;1;4;19,9.61311532,0,4.222222222,30,4,1;1;5;2;2;3;1;4,19,8vs1,2.375,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,10,3.210526316,potential_churn
10107,37,58,3;3;3;1;2;1;1;2;3;1;2;2;2;1;1;1;1;1;2;3;1;2;2;1;1;1;3;1;1;1;1;1;2;1;1;1;1,8/15/2015;8/16/2015;8/22/2015;8/24/2015;8/30/2015;9/12/2015;9/22/2015;9/25/2015;9/30/2015;10/1/2015;10/20/2015;11/6/2015;11/7/2015;11/8/2015;11/20/2015;11/28/2015;12/7/2015;12/12/2015;12/22/2015;1/5/2016;1/9/2016;1/23/2016;1/27/2016;2/5/2016;2/19/2016;3/1/2016;3/5/2016;3/8/2016;3/12/2016;3/17/2016;3/26/2016;4/5/2016;4/9/2016;4/14/2016;4/17/2016;4/18/2016;4/23/2016,1;6;2;6;13;10;3;5;1;19;17;1;1;12;8;9;5;10;14;4;14;4;9;14;11;4;3;4;5;9;10;4;5;3;1;5,11.79583152,0,7,30,4,1;6;2;6;10;3;5;1;1;1;8;9;5;10;4;4;9;11;4;3;4;5;9;10;4;5;3;1;5,13;19;17;12;14;14;14,29vs7,5.137931034,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,12,1.33557047,potential_churn
13926,49,58,1;1;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;2;1;1;1,9/2/2015;9/26/2015;10/14/2015;10/17/2015;10/23/2015;10/24/2015;10/27/2015;10/28/2015;10/31/2015;11/3/2015;11/7/2015;11/9/2015;11/12/2015;11/16/2015;11/18/2015;11/20/2015;11/23/2015;11/27/2015;11/28/2015;12/6/2015;12/10/2015;12/15/2015;12/31/2015;1/9/2016;1/10/2016;1/14/2016;1/16/2016;1/17/2016;1/20/2016;1/21/2016;1/23/2016;1/27/2016;1/29/2016;1/30/2016;2/5/2016;2/12/2016;2/14/2016;2/18/2016;2/20/2016;2/21/2016;2/27/2016;2/29/2016;3/11/2016;3/12/2016;3/15/2016;3/26/2016;4/8/2016;4/14/2016;4/23/2016,24;18;3;6;1;3;1;3;3;4;2;3;4;2;2;3;4;1;8;4;5;16;9;1;4;2;1;3;1;2;4;2;1;6;7;2;4;2;1;6;2;11;1;3;11;13;6;9,9.660503282,0,4.875,30,4,3;6;1;3;1;3;3;4;2;3;4;2;2;3;4;1;8;4;5;9;1;4;2;1;3;1;2;4;2;1;6;7;2;4;2;1;6;2;1;3;6;9,24;18;16;11;11;13,42vs6,3.357142857,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,12,2.574468085,potential_churn
113510,16,25,2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1,3/8/2016;3/10/2016;3/12/2016;3/13/2016;3/16/2016;3/19/2016;3/20/2016;3/21/2016;3/26/2016;3/27/2016;3/31/2016;4/12/2016;4/13/2016;4/14/2016;4/15/2016;4/22/2016,2;2;1;3;3;1;1;5;1;4;12;1;1;1;7,5.966479395,0,3,30,4,2;2;1;3;3;1;1;5;1;4;1;1;1,12;7,13vs2,2,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,13,5.5,potential_churn
110241,10,17,1;1;2;2;2;2;3;2;1;1,3/3/2016;3/24/2016;3/25/2016;3/29/2016;3/30/2016;3/31/2016;4/1/2016;4/5/2016;4/7/2016;4/21/2016,21;1;4;1;1;1;4;2;14,12.1957589,0,5.444444444,30,4,1;4;1;1;1;4;2,21;14,7vs2,2,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,14,6,potential_churn
